80.82.46.170,俄罗斯,RU,Moxa Nport Devices Status: Fixed  Server Name: NP5130_2685
31.173.192.129,罗马尼亚,RU,Moxa Nport Devices Status: Lock Fixed  Server Name: NP5110_7972
60.250.150.114,台湾省台北市中华电信,TW,Moxa Nport Devices Status: Fixed  Server Name: 5232-N_443
222.133.18.251,山东省德州市庆云县联通ADSL,CN,Moxa Nport Devices Status: Fixed  Server Name: NP5110_2829
37.98.222.215,波兰,PL,Moxa Nport Devices Status: Fixed  Server Name: Szymaszkowa
183.171.208.173,马来西亚,MY,Devices: Moxa Devices  Server Name: W5340_6649
138.188.48.130,瑞士,CH,Devices: Moxa Devices  Server Name: OnCell_5004_685
178.149.40.167,塞尔维亚,RS,Moxa Nport Devices Status: Fixed  Server Name: NP6150_103
70.90.208.190,美国田纳西州纳什维尔市,US,Moxa Nport Devices Status: Fixed  Server Name: NP5110_7688
217.71.43.18,爱沙尼亚,EE,Moxa Nport Devices Status: Lock Fixed  Server Name: Helme_PK1
24.135.182.214,塞尔维亚,RS,Moxa Nport Devices Status: Fixed  Server Name: NP6150_103
210.64.14.28,台湾省台北市新世纪资通股份有限公司,TW,Moxa Nport Devices Status: Fixed  Server Name: NPSDK1558
80.80.244.160,奥地利,AT,Devices: Moxa Devices  Server Name: anx-klu-serial01
89.113.7.58,俄罗斯,RU,Moxa Nport Devices Status: Fixed  Server Name: moxa-12-9-10
184.151.44.207,加拿大,CA,Moxa Nport Devices Status: Lock Fixed  Server Name: SthSewOC
213.138.75.118,俄罗斯,RU,Devices: Moxa Devices  Server Name: NE-4100T_7897
212.119.235.70,俄罗斯,RU,Moxa Nport Devices Status: Fixed  Server Name: NP5110_2475
42.69.176.105,台湾省,TW,Moxa Nport Devices Status: Fixed  Server Name: 20097
47.21.28.74,美国,US,Moxa Nport Devices Status: Fixed  Server Name: NP5110_248
62.141.124.118,俄罗斯,RU,Devices: Moxa Devices  Server Name: Springfield_Gulliver#7600
116.91.253.139,日本,JP,Moxa Nport Devices Status: Fixed  Server Name: NP5110_4403
80.27.4.142,西班牙,ES,Devices: Moxa Devices  Server Name: OnCell_G3150_V2_7851
61.125.195.180,日本,JP,Moxa Nport Devices Status: Fixed  Server Name: NP5110_3236
89.101.125.178,爱尔兰,IE,Moxa Nport Devices Status: Fixed  Server Name: NP6150_3567
213.58.194.43,葡萄牙,PT,Moxa Nport Devices Status: Lock Fixed  Server Name: NP6150_1008
118.243.19.144,日本朝日网络(ASAHI Net),JP,Moxa Nport Devices Status: Fixed  Server Name: NP5110_1749
211.72.199.224,台湾省中华电信,TW,Moxa Nport Devices Status: Fixed  Server Name: 5230-N_6734
188.187.193.117,俄罗斯,RU,Moxa Nport Devices Status: Fixed  Server Name: NP5110_4174
92.246.140.15,俄罗斯,RU,Moxa Nport Devices Status: Fixed  Server Name: NP5110A_7545
82.78.189.186,罗马尼亚,RO,Moxa Nport Devices Status: Fixed  Server Name: NP5110_4131
117.56.239.21,台湾省,TW,Devices: Moxa Devices  Server Name: MiiNePort_E1_379
205.250.193.224,加拿大,CA,Devices: Moxa Devices  Server Name: NP5110_Browns_Bay_Radio
213.178.58.99,俄罗斯,RU,Devices: Moxa Devices  Server Name: NE-4100T_6136
80.216.86.59,瑞典,SE,Moxa Nport Devices Status: Fixed  Server Name: NP5210A_3072
43.249.70.133,日本,TH,Devices: Moxa Devices  Server Name: NE-4100T_3091_E1GWV361_36101866
80.92.221.114,俄罗斯,RU,Devices: Moxa Devices  Server Name: NE-4110S_3659
220.134.28.22,台湾省台北市中华电信数据通信分公司,TW,Moxa Nport Devices Status: Fixed  Server Name: 5232-N_92
37.194.37.185,俄罗斯,RU,Moxa Nport Devices Status: Fixed  Server Name: NE-4100T_102
42.65.227.27,台湾省,TW,Moxa Nport Devices Status: Lock Fixed  Server Name: 20248_G3110
42.65.227.160,台湾省,TW,Devices: Moxa Devices  Server Name: W5312_6792
64.40.174.135,美国加洲,A2,Moxa Nport Devices Status: Fixed  Server Name: North
112.253.45.14,山东省联通,CN,Moxa Nport Devices Status: Fixed  Server Name: NP5110_8499
178.149.99.0,塞尔维亚,RS,Moxa Nport Devices Status: Fixed  Server Name: NP6150_103
96.56.181.34,美国,US,Moxa Nport Devices Status: Lock Fixed  Server Name: NP5110_3270
188.205.99.237,荷兰,NL,Moxa Nport Devices Status: Lock Fixed  Server Name: NP5110_6877
173.198.39.244,美国,US,Devices: Moxa Devices  Server Name: NE-4100T_6889
66.119.110.14,美国明尼苏达州,US,Moxa Nport Devices Status: Lock Fixed  Server Name: SUNNYPOINT
37.195.77.18,俄罗斯,RU,Devices: Moxa Devices  Server Name: NE-4110S_4194
31.132.169.231,俄罗斯,RU,Devices: Moxa Devices  Server Name: NE-4100T_7699
88.212.54.249,斯洛伐克,SK,Moxa Nport Devices Status: Fixed  Server Name: NP5110_8540
217.15.201.248,俄罗斯,RU,Devices: Moxa Devices  Server Name: NE-4110S_3496
